Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
VILL	29.52	34.59	53.86	434.22	693.17	500.12	32.85	445.36	38.86	209.25	215.54	39.84	97.78	43.07	305.41	129.91	21.09	20.97	102.5	138.14	23.66	20.88
VNN1	22.96	21.92	16.71	12.27	29.07	11.5	6.88	4.56	50.6	119.89	62.58	27.09	1024.7	924.74	12.28	120.64	158.59	37.6	68.02	40.75	64.49	894.86
VNN2	64.98	79.68	51.05	445.48	574.73	87.44	7.68	183.18	81.25	1027.32	600.76	133.98	3300.12	462.81	6.2	8.26	6.33	7.34	242.32	17.99	9.75	18515.36
VNN3	30.93	32.3	10.57	13.08	58.33	28.55	26.9	36.42	85.43	38.72	22.08	44.53	187.6	28.65	70.97	60.51	19.04	20.43	47.36	42.2	79.94	2232.47
VPREB3	3778.57	2591.6	404.26	89.7	38.12	166.12	154.18	87	335.23	155.1	126.74	114.28	136.16	88.97	156.43	111.7	92	129.47	73.26	68.47	89.87	157.96
WNT5B	11.75	11.15	48.96	10.62	6.82	8.39	9.27	17.98	11.65	10.98	6.1	9.79	15.98	11.94	11.17	533.28	99.77	132.77	23.59	13.46	12.39	15.95
WNT7A	12.86	17.54	20.33	101.41	230.76	87.4	46.54	100.1	51.71	34.57	11.1	13.79	56.25	20.28	23.34	10.34	17.52	28.44	21.13	16.14	57.17	21.34
ZAP70	13.71	12.81	13.37	3230.54	4287.54	2667.27	772.78	7380.97	1758.63	1422.38	4781.95	1772	38.06	18.47	25.56	32.52	19.15	26.83	24.08	38.32	185.48	70.05
ZBP1	35.85	74.51	450.65	149.29	184.78	162.53	27.56	71.3	144.08	106.92	499.95	127.04	24.54	14.9	16.16	22.09	10.55	25.51	13.08	28.7	143.71	269.62
ZBTB10	152.69	99.22	95.56	99.88	109.58	91.37	83.06	1221.65	4.25	179.03	122.44	106.54	62.01	65.66	222.31	74.03	76.6	773.95	117.06	216.38	144.63	20.32
ZBTB32	9.86	193.2	12.93	27.84	29.13	7.77	187.39	24.72	112.59	29.82	16.35	12.39	10.53	10.29	223.02	14.98	10.57	71.91	11.02	8.85	57.76	12.28
ZFP36L2	923.6	661.88	485.64	3227.83	357.01	3731.33	366.1	641.85	2943.24	154.93	915.02	263.1	1341.52	297.48	23.57	303.58	532.37	124.3	34.42	54.25	311.98	517.34
ZNF135	94.29	16.31	11.4	64.56	96.2	15.81	3.24	31.17	3.23	42.87	151.1	79.05	3.86	8.52	4.99	39.76	8.28	2.42	24.38	14.23	99.1	1.93
ZNF165	6.42	4.43	74.3	3.19	33.67	2.72	45.2	6.15	5.93	4.9	7.02	4.9	2.67	2.37	4.24	6.08	2.42	1.84	4.45	3.14	5690.38	5.36
ZNF204P	77.88	42.95	41.08	151.96	400.66	168.9	40.09	52.23	83.76	129.6	37.01	32.97	29.91	26.84	33.02	27.46	25.55	36.17	38.89	25.21	65.49	27.49
ZNF222	9.8	7.2	11.69	71.91	56.64	15.08	15.59	182.94	10.03	13.84	92.28	91.81	19.86	70.82	47.03	148.62	86.42	39.92	222.57	211.49	346.56	26.83
ZNF286A	737.86	331.91	73.88	218.23	5.6	169.31	190.87	118.14	136.87	246.5	225.41	199.3	11.04	13.51	36.04	21.88	15.08	280.77	77.84	25.83	7.47	441.31
ZNF324	28.21	23.46	21.17	32.01	348.19	27.17	24.06	179.59	63.47	45.38	44.94	42.9	28.71	26.2	37.88	112.91	25.25	23.84	30.2	45.78	35.29	35.42
ZNF442	19.71	22.45	19.39	32.11	8.98	9.18	3.1	44.7	47.39	180.86	21.77	40.95	12.3	31.35	71.64	36.61	48.3	96.01	79.07	3.65	40.3	20.16
